================ Training Loss (Thu Aug  8 08:08:42 2024) ================
(epoch: 116, iters: 20, time: 0.185, data: 0.000) G_GAN: 2.907 G_L1: 32.129 D_real: 0.110 D_fake: 0.253 
(epoch: 118, iters: 16, time: 0.022, data: 0.000) G_GAN: 2.823 G_L1: 26.620 D_real: 0.018 D_fake: 0.260 
(epoch: 120, iters: 12, time: 0.016, data: 0.000) G_GAN: 2.089 G_L1: 24.192 D_real: 0.618 D_fake: 0.055 
(epoch: 122, iters: 8, time: 0.031, data: 0.000) G_GAN: 2.450 G_L1: 17.372 D_real: 0.189 D_fake: 0.573 
(epoch: 124, iters: 4, time: 0.269, data: 0.000) G_GAN: 2.069 G_L1: 21.344 D_real: 0.123 D_fake: 0.264 
(epoch: 125, iters: 52, time: 0.016, data: 0.000) G_GAN: 2.868 G_L1: 29.406 D_real: 0.010 D_fake: 0.742 
(epoch: 127, iters: 48, time: 0.016, data: 2.157) G_GAN: 1.777 G_L1: 25.563 D_real: 0.562 D_fake: 0.063 
(epoch: 129, iters: 44, time: 0.016, data: 0.000) G_GAN: 2.362 G_L1: 20.804 D_real: 0.427 D_fake: 0.124 
(epoch: 131, iters: 40, time: 0.200, data: 0.000) G_GAN: 3.896 G_L1: 32.295 D_real: 0.059 D_fake: 0.032 
(epoch: 133, iters: 36, time: 0.016, data: 0.000) G_GAN: 2.973 G_L1: 30.733 D_real: 0.012 D_fake: 0.200 
(epoch: 135, iters: 32, time: 0.016, data: 0.000) G_GAN: 2.826 G_L1: 20.006 D_real: 0.067 D_fake: 0.543 
(epoch: 137, iters: 28, time: 0.016, data: 0.000) G_GAN: 2.224 G_L1: 28.466 D_real: 0.011 D_fake: 0.667 
(epoch: 139, iters: 24, time: 0.200, data: 0.000) G_GAN: 3.374 G_L1: 19.991 D_real: 0.360 D_fake: 0.019 
(epoch: 141, iters: 20, time: 0.016, data: 0.000) G_GAN: 2.326 G_L1: 25.977 D_real: 0.156 D_fake: 0.502 
(epoch: 143, iters: 16, time: 0.016, data: 0.000) G_GAN: 1.458 G_L1: 16.732 D_real: 0.396 D_fake: 0.301 
(epoch: 145, iters: 12, time: 0.016, data: 0.000) G_GAN: 1.995 G_L1: 20.986 D_real: 0.545 D_fake: 0.113 
(epoch: 147, iters: 8, time: 0.232, data: 0.000) G_GAN: 2.581 G_L1: 28.652 D_real: 0.041 D_fake: 0.373 
(epoch: 149, iters: 4, time: 0.031, data: 0.000) G_GAN: 1.677 G_L1: 24.829 D_real: 0.210 D_fake: 0.398 
(epoch: 150, iters: 52, time: 0.016, data: 0.000) G_GAN: 2.115 G_L1: 27.647 D_real: 0.530 D_fake: 0.074 
(epoch: 152, iters: 48, time: 0.016, data: 2.133) G_GAN: 1.955 G_L1: 23.022 D_real: 0.066 D_fake: 0.405 
(epoch: 154, iters: 44, time: 0.238, data: 0.000) G_GAN: 1.141 G_L1: 18.975 D_real: 1.295 D_fake: 0.052 
(epoch: 156, iters: 40, time: 0.016, data: 0.000) G_GAN: 3.051 G_L1: 29.800 D_real: 0.030 D_fake: 0.131 
(epoch: 158, iters: 36, time: 0.016, data: 0.000) G_GAN: 2.258 G_L1: 25.147 D_real: 0.463 D_fake: 0.072 
(epoch: 160, iters: 32, time: 0.020, data: 0.000) G_GAN: 2.980 G_L1: 28.351 D_real: 0.082 D_fake: 0.107 
(epoch: 162, iters: 28, time: 0.234, data: 0.000) G_GAN: 2.512 G_L1: 23.510 D_real: 0.240 D_fake: 0.079 
(epoch: 164, iters: 24, time: 0.022, data: 0.000) G_GAN: 2.553 G_L1: 21.806 D_real: 0.153 D_fake: 0.234 
(epoch: 166, iters: 20, time: 0.022, data: 0.000) G_GAN: 2.697 G_L1: 18.246 D_real: 0.042 D_fake: 0.334 
(epoch: 168, iters: 16, time: 0.016, data: 0.000) G_GAN: 1.735 G_L1: 20.003 D_real: 0.491 D_fake: 0.165 
(epoch: 170, iters: 12, time: 0.301, data: 0.000) G_GAN: 2.144 G_L1: 26.712 D_real: 0.024 D_fake: 0.309 
(epoch: 172, iters: 8, time: 0.033, data: 0.000) G_GAN: 2.211 G_L1: 23.806 D_real: 0.328 D_fake: 0.098 
(epoch: 174, iters: 4, time: 0.031, data: 0.000) G_GAN: 2.618 G_L1: 26.777 D_real: 0.036 D_fake: 0.095 
(epoch: 175, iters: 52, time: 0.022, data: 0.000) G_GAN: 2.682 G_L1: 15.916 D_real: 0.197 D_fake: 0.058 
(epoch: 177, iters: 48, time: 0.254, data: 2.130) G_GAN: 2.536 G_L1: 25.493 D_real: 0.092 D_fake: 0.175 
(epoch: 179, iters: 44, time: 0.016, data: 0.000) G_GAN: 2.481 G_L1: 27.629 D_real: 0.093 D_fake: 0.127 
(epoch: 181, iters: 40, time: 0.016, data: 0.000) G_GAN: 2.978 G_L1: 24.377 D_real: 0.176 D_fake: 0.066 
(epoch: 183, iters: 36, time: 0.031, data: 0.000) G_GAN: 3.168 G_L1: 26.633 D_real: 0.116 D_fake: 0.055 
(epoch: 185, iters: 32, time: 0.254, data: 0.000) G_GAN: 2.842 G_L1: 23.152 D_real: 0.088 D_fake: 0.104 
(epoch: 187, iters: 28, time: 0.016, data: 0.000) G_GAN: 1.835 G_L1: 18.304 D_real: 0.256 D_fake: 0.271 
(epoch: 189, iters: 24, time: 0.005, data: 0.000) G_GAN: 2.144 G_L1: 26.645 D_real: 0.121 D_fake: 0.180 
(epoch: 191, iters: 20, time: 0.016, data: 0.000) G_GAN: 3.307 G_L1: 27.141 D_real: 0.058 D_fake: 0.054 
(epoch: 193, iters: 16, time: 0.243, data: 0.000) G_GAN: 2.365 G_L1: 26.822 D_real: 0.138 D_fake: 0.145 
(epoch: 195, iters: 12, time: 0.016, data: 0.000) G_GAN: 2.981 G_L1: 24.554 D_real: 0.121 D_fake: 0.072 
(epoch: 197, iters: 8, time: 0.016, data: 0.000) G_GAN: 2.926 G_L1: 24.670 D_real: 0.371 D_fake: 0.070 
(epoch: 199, iters: 4, time: 0.036, data: 0.000) G_GAN: 2.592 G_L1: 26.593 D_real: 0.045 D_fake: 0.105 
(epoch: 200, iters: 52, time: 0.317, data: 0.000) G_GAN: 2.624 G_L1: 27.609 D_real: 0.029 D_fake: 0.106 
